LOAN_NO,MEMBER_NAME,MOBILE_NUMBER,STATE,DISTRICT,RURAL_URBAN,PRODUCT,DISBURSEMENT_DATE,TENURE,TOTAL_INSTAL,PRINCIPAL_TOTAL,OUTSTANDING_PRINCIPAL,PRIN_COLLECTED,INT_COLLECTED,LAST_EMI,TOTAL_ARREAR,Total_EMI_Paid_Count,LAST_COLL_DATE,LAST_COLL_AMOUNT,OD_DAYS,OD_BUCKET,STATUS,TOTAL_INCOME,TOTAL_EXPENSE,FOIR,AGE,CYCLE,PAID_WITHIN_30D,AMOUNT_PAID_30D
LN1000258,Manoj Yadav,6271721050,Uttar Pradesh,Varanasi,RURAL,JLG,2022-03-03,24,24,25000.00,1042.00,23958.00,4312.00,1542.00,1542.00,23,2024-02-11,1542.00,30,0-30,Active,23581,13165,0.6237,26,1,1,1542.00
LN1000259,Rani Manjhi,6548218848,Rajasthan,Udaipur,URBAN,JLG,2023-09-10,36,36,30000.00,33998.00,3333.00,600.00,1433.00,2866.00,4,2024-02-03,1433.00,49,31-60,Active,42085,34849,0.8621,23,2,1,1433.00
LN1000260,Aarti Manjhi,9676912449,Maharashtra,Amravati,RURAL,JLG,2023-12-25,12,12,50000.00,50000.00,0.00,0.00,5167.00,20668.00,0,2023-11-28,5167.00,111,91-180,Active,35077,20772,0.7395,50,1,1,5167.00
LN1000261,Kiran Kumari,6213054004,Maharashtra,Pune,RURAL,Micro-Enterprise,2022-11-08,24,24,75000.00,59375.00,15625.00,2813.00,4625.00,50875.00,5,2023-04-27,4625.00,321,181-360,Active,55622,46563,0.9203,47,5,0,0.00
LN1000262,Rajesh Pandey,7736206968,Maharashtra,Nashik,URBAN,Agriculture Allied,2023-01-27,24,24,75000.00,43750.00,31250.00,5625.00,4625.00,18500.00,10,2023-11-28,4625.00,118,91-180,Active,21194,15486,0.9489,23,5,1,2869.00
LN1000263,Mukesh Singh,6892035545,Odisha,Balasore,URBAN,Micro-Enterprise,2021-02-17,36,36,100000.00,2778.00,97222.00,17500.00,4778.00,4778.00,35,2024-02-16,4778.00,29,0-30,Active,36738,22977,0.7555,29,2,1,4778.00
LN1000264,Dinesh Bai,9619056078,Odisha,Puri,RURAL,Agriculture Allied,2022-06-30,36,36,50000.00,29167.00,20833.00,3750.00,2389.00,14334.00,15,2023-10-09,2389.00,155,91-180,NPA,43661,20846,0.5322,28,5,1,2389.00
LN1000265,Urmila Verma,7226431000,Bihar,Patna,RURAL,Agriculture Allied,2023-09-19,12,12,50000.00,33333.00,16667.00,3000.00,5167.00,10334.00,4,2024-02-06,5167.00,45,31-60,Active,,,,53,3,1,9840.00
LN1000266,Sita Bai,99662517,Uttar Pradesh,Gorakhpur,RURAL,Micro-Enterprise,2022-08-21,18,18,30000.00,6667.00,23333.00,4200.00,2267.00,9068.00,14,2023-12-01,2267.00,108,91-180,Active,51725,26510,0.5563,33,1,0,0.00
LN1000267,Vijay Pandey,8515878635,Maharashtra,Nagpur,RURAL,Agriculture Allied,2021-06-13,36,36,60000.00,8333.00,51667.00,9300.00,2867.00,8601.00,31,2023-12-07,2867.00,90,61-90,Active,48748,27584,0.6247,49,4,1,2867.00
LN1000268,Lalita Verma,7161491116,Maharashtra,Aurangabad,RURAL,Micro-Enterprise,2023-06-28,24,24,40000.00,30000.00,10000.00,1800.00,2467.00,7401.00,6,2024-01-07,2467.00,74,61-90,Active,54229,36840,0.7248,41,2,1,2467.00
LN1000269,Urmila Roy,8468730840,Uttar Pradesh,Varanasi,URBAN,Agriculture Allied,2023-03-25,18,18,50000.00,54266.00,27778.00,5000.00,3778.00,7556.00,10,2024-01-23,3778.00,50,31-60,Active,50594,34071,0.7481,54,1,1,2757.00
LN1000270,Rekha Sharma,7754226797,Uttar Pradesh,Lucknow,RURAL,Agriculture Allied,2023-05-25,18,18,50000.00,25000.00,25000.00,4500.00,3778.00,3778.00,9,2024-02-12,3778.00,30,0-30,Active,53360,27441,0.5851,27,5,1,3778.00
LN1000271,Aarti Mahto,6314032791,West Bengal,Murshidabad,RURAL,Micro-Enterprise,2023-11-28,18,18,30000.00,25000.00,5000.00,900.00,2267.00,2267.00,3,2024-02-20,,19,0-30,Active,60794,25322,0.4538,54,5,1,2267.00
LN1000272,Rekha Bai,9674953478,Maharashtra,Pune,RURAL,Micro-Enterprise,2022-10-11,24,24,60000.00,22500.00,37500.00,6750.00,3700.00,7400.00,15,2024-01-14,3700.00,58,31-60,Active,59125,27039,0.5199,32,1,1,3700.00
LN1000273,Anil Mahto,9354099561,Odisha,Puri,RURAL,Agriculture Allied,2023-04-08,12,12,75000.00,75000.00,0.00,0.00,7750.00,93000.00,0,2023-04-10,7750.00,332,181-360,Active,50043,32305,0.8004,44,3,0,0.00
LN1000274,Guddi Kaur,6618146280,Maharashtra,Pune,RURAL,Micro-Enterprise,2023-11-02,36,36,75000.00,70833.00,4167.00,750.00,3583.00,10749.00,2,2023-12-31,3583.00,86,61-90,Active,60963,32310,0.5888,30,3,1,3583.00
LN1000275,Urmila Sharma,9359834719,West Bengal,South 24 Parganas,RURAL,Individual Loan,2022-01-08,36,36,25000.00,7639.00,17361.00,3125.00,1194.00,2388.00,25,2024-02-10,1194.00,40,31-60,Active,47983,24749,0.5407,24,1,0,0.00
LN1000276,Meena Pandey,7997703640,Maharashtra,Nashik,RURAL,JLG,2023-09-07,12,12,30000.00,25000.00,5000.00,900.00,3100.00,12400.00,2,2023-12-19,3100.00,98,91-180,Active,42039,25384,0.6776,23,2,1,3100.00
LN1000277,Guddi Singh,8384950799,Rajasthan,Bikaner,RURAL,Micro-Enterprise,2023-08-03,12,12,30000.00,12500.00,17500.00,3150.00,3100.00,3100.00,7,2024-03-10,3100.00,3,0-30,Active,57154,29766,0.5750,49,4,1,1849.00
LN1000278,Sita Bai,9663154632,Odisha,Cuttack,RURAL,Agriculture Allied,2023-07-17,18,18,25000.00,16667.00,8333.00,1500.00,1889.00,3778.00,6,2024-01-23,1889.00,48,31-60,Active,35861,29653,0.8796,23,3,1,2312.00
LN1000279,Anil Begum,6688932827,Rajasthan,Jodhpur,RURAL,Agriculture Allied,2023-01-25,24,24,40000.00,45912.00,21667.00,3900.00,2467.00,2467.00,13,2024-03-03,2467.00,13,0-30,Active,,,,29,4,1,2467.00
LN1000280,Lalita Tiwari,7973658971,Maharashtra,Aurangabad,RURAL,Individual Loan,2022-08-18,18,18,50000.00,2778.00,47222.00,8500.00,3778.00,3778.00,17,2024-03-03,3778.00,22,0-30,Active,33059,19928,0.7171,40,3,1,3778.00
LN1000281,Rekha Begum,8351301027,Rajasthan,Bikaner,RURAL,Micro-Enterprise,2023-10-12,18,18,75000.00,66667.00,8333.00,1500.00,5667.00,17001.00,2,2023-12-10,5667.00,90,61-90,Active,29045,11977,0.6075,36,1,1,5667.00
LN1000282,Suresh Roy,6573794252,Uttar Pradesh,Azamgarh,RURAL,JLG,2023-05-04,12,12,50000.00,12500.00,37500.00,6750.00,5167.00,10334.00,9,2024-01-30,5167.00,51,31-60,Active,45040,26264,0.6978,44,2,1,5167.00
LN1000283,Rekha Manjhi,6665998659,Uttar Pradesh,Azamgarh,RURAL,Individual Loan,2023-03-15,18,18,75000.00,29167.00,45833.00,8250.00,5667.00,5667.00,11,2024-02-21,5667.00,22,0-30,Active,15358,7446,0.8538,24,3,1,9962.00
LN1000284,Sarita Kumari,7548892213,West Bengal,North 24 Parganas,RURAL,Micro-Enterprise,2023-07-25,18,18,50000.00,50000.00,0.00,0.00,3778.00,34002.00,0,2023-07-17,3778.00,251,181-360,Write-Off,45858,36948,0.8881,23,5,0,0.00
LN1000285,Lalita Pandey,7980773404,West Bengal,Murshidabad,URBAN,JLG,2022-08-17,36,36,30000.00,15833.00,14167.00,2550.00,1433.00,2866.00,17,2024-02-13,1433.00,37,31-60,Active,59290,41437,0.7231,33,3,1,1433.00
LN1000286,Guddi Mahto,7302598653,Madhya Pradesh,Ujjain,RURAL,JLG,2023-06-20,24,24,30000.00,23750.00,6250.00,1125.00,1850.00,7400.00,5,2023-11-09,1850.00,120,91-180,Active,55991,32482,0.6132,44,1,1,1850.00
LN1000287,Shanti Bai,8412625751,Rajasthan,Kota,RURAL,JLG,2023-06-19,24,24,40000.00,30000.00,10000.00,1800.00,2467.00,7401.00,6,2024-01-14,2467.00,71,61-90,Active,42038,30085,0.7743,29,2,1,2467.00
LN1000288,Santosh Devi,8880980917,Maharashtra,Nashik,RURAL,JLG,2023-03-24,12,12,50000.00,4167.00,45833.00,8250.00,5167.00,5167.00,11,2024-03-12,5167.00,8,0-30,Active,18279,11472,0.9103,51,3,1,5167.00
LN1000289,Anita Kaur,6176205314,West Bengal,Nadia,RURAL,JLG,2023-03-02,12,12,50000.00,25000.00,25000.00,4500.00,5167.00,31002.00,6,2023-09-27,5167.00,170,91-180,Active,52189,30986,0.6927,58,2,1,5167.00
LN1000290,Meena Singh,9914275887,Bihar,Samastipur,URBAN,Individual Loan,2021-05-21,36,36,60000.00,21667.00,38333.00,6900.00,2867.00,31537.00,23,2023-04-18,2867.00,326,181-360,Active,64778,32144,0.5405,24,5,1,2867.00
LN1000291,Anita Roy,6620303820,Uttar Pradesh,Prayagraj,RURAL,Micro-Enterprise,2023-07-20,18,18,50000.00,30556.00,19444.00,3500.00,3778.00,3778.00,7,2024-03-04,3778.00,19,0-30,Active,21972,10808,0.6638,24,2,1,3778.00
LN1000292,Mamta Das,8471915772,Madhya Pradesh,Rewa,RURAL,Individual Loan,2023-06-10,24,24,50000.00,39583.00,10417.00,1875.00,3083.00,12332.00,5,2023-12-01,3083.00,105,91-180,Active,22157,9023,0.5464,21,3,1,3083.00
LN1000293,Lalita Yadav,9874889950,Madhya Pradesh,Jabalpur,URBAN,Individual Loan,2022-09-30,24,24,100000.00,54167.00,45833.00,8250.00,6167.00,43169.00,11,2023-08-31,6167.00,204,181-360,NPA,27447,13398,0.7128,21,1,0,0.00
LN1000294,Rekha Paswan,8601396542,Uttar Pradesh,Lucknow,RURAL,Micro-Enterprise,2023-06-04,18,18,50000.00,27778.00,22222.00,4000.00,3778.00,7556.00,8,2024-02-16,3778.00,32,31-60,Active,59929,27071,0.5148,42,4,1,3778.00
LN1000295,Manoj Khatun,9669616138,Rajasthan,Jaipur,RURAL,Agriculture Allied,2022-09-24,24,24,100000.00,50000.00,50000.00,9000.00,6167.00,37002.00,12,2023-10-16,6167.00,152,91-180,Active,20452,9680,0.7748,46,3,1,6167.00
LN1000296,Urmila Gupta,9120506486,Madhya Pradesh,Ujjain,RURAL,Individual Loan,2023-09-28,18,18,100000.00,100000.00,0.00,0.00,7556.00,45336.00,0,2023-09-24,7556.00,176,91-180,NPA,61887,34190,0.6746,55,2,1,4404.00
LN1000297,Manju Sharma,9456543892,Bihar,Bhagalpur,RURAL,Individual Loan,2023-09-01,18,18,100000.00,72222.00,27778.00,5000.00,7556.00,15112.00,5,2024-01-22,7556.00,48,31-60,Active,,,,47,5,1,6072.00
LN1000298,Rekha Paswan,6934866702,Rajasthan,Jaipur,RURAL,Agriculture Allied,2023-11-08,18,18,100000.00,94444.00,5556.00,1000.00,7556.00,22668.00,1,2023-12-21,7556.00,85,61-90,Active,39931,24667,0.8070,23,4,1,7556.00
LN1000299,Ramesh Devi,9874101411,Uttar Pradesh,Lucknow,URBAN,Agriculture Allied,2023-06-29,12,12,40000.00,13333.00,26667.00,4800.00,4133.00,4133.00,8,2024-02-22,4133.00,26,0-30,Active,16931,12443,0.9790,39,1,1,7518.00
LN1000300,Sangeeta Patel,9108016241,Odisha,Cuttack,RURAL,Individual Loan,2023-12-07,36,36,30000.00,30000.00,0.00,0.00,1433.00,8598.00,0,2023-10-03,1433.00,162,91-180,Active,38531,32311,0.8758,29,2,1,1433.00
LN1000301,Meena Patel,9482267399,Bihar,Purnia,URBAN,Agriculture Allied,2022-01-29,36,36,30000.00,9167.00,20833.00,3750.00,1433.00,1433.00,25,2024-02-19,1433.00,27,0-30,Active,23880,13457,0.6235,37,2,1,1433.00
LN1000302,Anil Yadav,83028082,Madhya Pradesh,Rewa,URBAN,Micro-Enterprise,2022-10-11,24,24,50000.00,20833.00,29167.00,5250.00,3083.00,9249.00,14,2024-01-11,3083.00,73,61-90,Active,17418,11717,0.8497,35,2,1,1109.00
LN1000303,Shanti Roy,8982163174,West Bengal,South 24 Parganas,RURAL,Micro-Enterprise,2023-05-17,12,12,50000.00,33333.00,16667.00,3000.00,5167.00,31002.00,4,2023-10-20,5167.00,153,91-180,Active,27090,13609,0.6931,25,4,1,8784.00
LN1000304,Anil Roy,6474728417,Uttar Pradesh,Varanasi,URBAN,JLG,2022-11-22,18,18,50000.00,13889.00,36111.00,6500.00,3778.00,11334.00,13,2024-01-09,3778.00,67,61-90,Active,,,,23,4,1,3778.00
LN1000305,Rekha Devi,9112367679,Rajasthan,Kota,RURAL,Micro-Enterprise,2022-11-29,18,18,50000.00,27778.00,22222.00,4000.00,3778.00,30224.00,8,2023-07-28,3778.00,236,181-360,NPA,50978,40442,0.8674,26,4,0,0.00
LN1000306,Pooja Patel,8426829382,West Bengal,Hooghly,URBAN,JLG,2023-07-05,18,18,75000.00,50000.00,25000.00,4500.00,5667.00,17001.00,6,2024-01-02,5667.00,64,61-90,Active,26699,17868,0.8815,36,4,1,5667.00
LN1000307,Kiran Devi,9410302013,Bihar,Samastipur,URBAN,Micro-Enterprise,2023-05-31,18,18,25000.00,13889.00,11111.00,2000.00,1889.00,3778.00,8,2024-01-09,1889.00,60,31-60,Active,23541,19569,0.9115,49,4,1,1889.00
LN1000308,Aarti Devi,8346415767,West Bengal,Hooghly,RURAL,JLG,2023-05-05,12,12,25000.00,25686.00,18750.00,3375.00,2583.00,5166.00,9,2024-01-30,2583.00,51,31-60,Active,64766,35658,0.5904,51,5,1,2583.00
LN1000309,Mukesh Tiwari,8472555846,Rajasthan,Kota,URBAN,Individual Loan,2023-10-16,18,18,30000.00,30000.00,0.00,0.00,2267.00,13602.00,0,2023-10-05,2267.00,159,91-180,NPA,62443,51199,0.8562,24,3,0,0.00
LN1000310,Anil Roy,6187825458,Rajasthan,Kota,URBAN,Micro-Enterprise,2022-11-13,18,18,25000.00,9722.00,15278.00,2750.00,1889.00,9445.00,11,2023-11-18,1889.00,128,91-180,Active,34010,21226,0.6797,37,1,1,3050.00
LN1000311,Shanti Paswan,7529445962,West Bengal,Nadia,RURAL,JLG,2022-12-03,24,24,40000.00,15000.00,25000.00,4500.00,2467.00,2467.00,15,2024-02-28,2467.00,20,0-30,Active,17452,7731,0.5843,26,1,1,2467.00
LN1000312,Urmila Begum,8388723709,Uttar Pradesh,Kanpur,RURAL,JLG,2023-04-15,12,12,25000.00,4167.00,20833.00,3750.00,2583.00,2583.00,10,2024-02-15,2583.00,29,0-30,Active,61222,33391,0.5876,33,1,1,2583.00
LN1000313,Geeta Mahto,9251158934,Tamil Nadu,Madurai,RURAL,Agriculture Allied,2023-01-09,18,18,25000.00,12500.00,12500.00,2250.00,1889.00,9445.00,9,2023-11-01,1889.00,145,91-180,Active,63704,27893,0.4675,51,1,1,1889.00
LN1000314,Kavita Mondal,7140324272,Maharashtra,Solapur,RURAL,Individual Loan,2022-10-11,18,18,40000.00,41858.00,35556.00,6400.00,3022.00,3022.00,16,2024-02-25,3022.00,24,0-30,Active,48770,40935,0.9013,54,3,1,3022.00
LN1000315,Meena Das,9950849039,Uttar Pradesh,Prayagraj,URBAN,Individual Loan,2023-10-18,24,24,75000.00,62500.00,12500.00,2250.00,4625.00,4625.00,4,2024-03-05,4625.00,17,0-30,Active,37500,30839,0.9457,48,5,1,4625.00
LN1000316,Sita Sharma,6593286746,Bihar,Darbhanga,RURAL,Micro-Enterprise,2022-10-28,36,36,50000.00,34722.00,15278.00,2750.00,2389.00,14334.00,11,2023-09-16,2389.00,172,91-180,Active,37053,18451,0.5624,46,3,1,2389.00
LN1000317,Vijay Tiwari,9239535232,Madhya Pradesh,Bhopal,URBAN,JLG,2023-03-02,12,12,25000.00,4167.00,20833.00,3750.00,2583.00,5166.00,10,2024-02-19,2583.00,34,31-60,Active,42405,32189,0.8200,52,1,1,2583.00
LN1000318,Anil Manjhi,6379928902,Maharashtra,Amravati,RURAL,Micro-Enterprise,2023-12-04,18,18,100000.00,100000.00,0.00,0.00,7556.00,22668.00,0,2024-01-03,7556.00,64,61-90,Active,51719,23074,0.5922,54,1,1,10915.00
LN1000319,Meena Patel,8234276329,Madhya Pradesh,Ujjain,RURAL,Individual Loan,2023-03-05,12,12,25000.00,4167.00,20833.00,3750.00,2583.00,5166.00,10,2024-01-21,2583.00,46,31-60,Active,19552,12855,0.7896,30,5,1,2583.00
LN1000320,Lalita Patel,6289539404,Odisha,Cuttack,RURAL,JLG,2022-12-17,18,18,75000.00,75000.00,0.00,0.00,5667.00,90672.00,0,2022-12-10,5667.00,455,360+,Active,57236,23091,0.5024,45,3,0,0.00
LN1000321,Mamta Devi,7617730409,Uttar Pradesh,Gorakhpur,RURAL,Micro-Enterprise,2023-12-11,18,18,25000.00,25000.00,0.00,0.00,1889.00,5667.00,0,2024-01-12,1889.00,67,61-90,Active,50804,32892,0.6846,49,3,1,1889.00
LN1000322,Lalita Devi,9727394007,West Bengal,Murshidabad,URBAN,Agriculture Allied,2023-08-17,36,36,100000.00,83333.00,16667.00,3000.00,4778.00,4778.00,6,2024-03-03,4778.00,13,0-30,Active,16089,11626,1.0196,58,5,1,5765.00
LN1000323,Sunil Das,9154455749,Odisha,Balasore,RURAL,Individual Loan,2022-09-07,18,18,50000.00,2778.00,47222.00,8500.00,3778.00,3778.00,17,2024-03-08,3778.00,16,0-30,Active,,,,37,3,1,3778.00
LN1000324,Sunil Das,7916905790,Tamil Nadu,Madurai,URBAN,Individual Loan,2023-07-23,24,24,25000.00,28392.00,0.00,0.00,1542.00,13878.00,0,2023-07-13,1542.00,256,181-360,NPA,55118,41142,0.7744,44,5,0,0.00
LN1000325,Rani Kumari,9309117116,Madhya Pradesh,Jabalpur,URBAN,Individual Loan,2023-04-08,12,12,30000.00,7500.00,22500.00,4050.00,3100.00,6200.00,9,2024-01-20,3100.00,57,31-60,Active,35723,20845,0.6703,39,4,1,5158.00
LN1000326,Urmila Manjhi,8527329247,Uttar Pradesh,Varanasi,URBAN,JLG,2023-08-11,24,24,40000.00,45705.00,10000.00,1800.00,2467.00,2467.00,6,2024-02-22,2467.00,25,0-30,Active,,,,34,5,1,2007.00
LN1000327,Lalita Mondal,6191796231,Tamil Nadu,Tirunelveli,RURAL,Micro-Enterprise,2022-08-31,24,24,100000.00,25000.00,75000.00,13500.00,6167.00,6167.00,18,2024-02-13,6167.00,29,0-30,Active,26392,19917,0.9883,36,2,1,6167.00
LN1000328,Dinesh Kumari,8325183688,Uttar Pradesh,Kanpur,RURAL,JLG,2023-05-25,12,12,100000.00,100000.00,0.00,0.00,10333.00,144662.00,0,2023-01-22,10333.00,409,360+,Active,51340,24909,0.6864,25,2,0,0.00
LN1000329,Lalita Singh,050-5259677,Tamil Nadu,Tiruchirappalli,URBAN,Agriculture Allied,2023-02-17,18,18,25000.00,25000.00,0.00,0.00,1889.00,24557.00,0,2023-03-06,1889.00,374,360+,Active,18717,14138,0.8563,48,2,0,0.00
LN1000330,Vijay Kumari,8382838146,Uttar Pradesh,Azamgarh,RURAL,Agriculture Allied,2023-02-27,12,12,40000.00,6667.00,33333.00,6000.00,4133.00,8266.00,10,2024-01-18,4133.00,57,31-60,Active,60067,48707,0.8797,41,2,1,6252.00
LN1000331,Rajesh Tiwari,9387701872,Uttar Pradesh,Bareilly,RURAL,Micro-Enterprise,2022-09-09,36,36,25000.00,24306.00,694.00,125.00,1194.00,20298.00,1,2022-11-11,1194.00,481,360+,Write-Off,50990,26923,0.5514,22,1,0,0.00
LN1000332,Manoj Pandey,6638685837,Rajasthan,Ajmer,RURAL,JLG,2023-04-29,18,18,60000.00,26667.00,33333.00,6000.00,4533.00,4533.00,10,2024-03-04,4533.00,20,0-30,Active,23270,13818,0.7886,51,3,1,5220.00
LN1000333,Dinesh Kumari,6186006684,Rajasthan,Jodhpur,URBAN,Agriculture Allied,2023-10-17,18,18,100000.00,100000.00,0.00,0.00,7556.00,37780.00,0,2023-10-09,7556.00,149,91-180,Active,40497,25609,0.8189,28,5,1,4071.00
LN1000334,Sangeeta Pandey,7589432087,Uttar Pradesh,Gorakhpur,RURAL,Micro-Enterprise,2023-11-23,12,12,40000.00,33333.00,6667.00,1200.00,4133.00,8266.00,2,2024-02-12,4133.00,35,31-60,Active,30143,13987,0.6011,36,5,1,4133.00
LN1000335,Sangeeta Yadav,6533397918,Bihar,Darbhanga,RURAL,JLG,2022-09-27,24,24,30000.00,11250.00,18750.00,3375.00,1850.00,5550.00,15,2024-01-09,1850.00,77,61-90,Active,24985,15010,0.6748,21,4,1,1850.00
LN1000336,Sunil Bai,6444390427,Uttar Pradesh,Varanasi,URBAN,JLG,2023-06-19,12,12,60000.00,20000.00,40000.00,7200.00,6200.00,6200.00,8,2024-02-29,6200.00,19,0-30,Active,36288,28325,0.9514,45,1,1,6200.00
LN1000337,Sita Bai,066-4534648,Odisha,Puri,RURAL,Individual Loan,2022-09-22,24,24,50000.00,14583.00,35417.00,6375.00,3083.00,3083.00,17,2024-02-23,3083.00,23,0-30,Active,36162,29536,0.9020,40,4,0,0.00
LN1000338,Lalita Bai,6700590756,Bihar,Purnia,RURAL,Individual Loan,2023-10-10,12,12,25000.00,20833.00,4167.00,750.00,2583.00,7749.00,2,2024-01-07,2583.00,64,61-90,Active,64410,43471,0.7150,24,2,1,2583.00
LN1000339,Anil Patel,7956231204,Odisha,Balasore,RURAL,Agriculture Allied,2023-07-22,18,18,100000.00,77778.00,22222.00,4000.00,7556.00,30224.00,4,2023-12-04,7556.00,96,91-180,Active,26617,18944,0.9956,47,1,0,0.00
LN1000340,Rekha Mahto,7437525099,Tamil Nadu,Salem,RURAL,Individual Loan,2021-10-31,36,36,25000.00,5556.00,19444.00,3500.00,1194.00,1194.00,28,2024-03-17,1194.00,8,0-30,Active,55517,34481,0.6426,47,1,1,1194.00
LN1000341,Manoj Bai,8681082331,West Bengal,Hooghly,RURAL,Micro-Enterprise,2023-08-11,36,36,100000.00,83333.00,16667.00,3000.00,4778.00,4778.00,6,2024-02-28,4778.00,10,0-30,Active,48749,40502,0.9288,29,5,1,4778.00
LN1000342,Aarti Mahto,7882971034,Rajasthan,Ajmer,RURAL,JLG,2023-11-28,36,36,60000.00,55000.00,5000.00,900.00,2867.00,2867.00,3,2024-03-05,2867.00,21,0-30,Active,34102,20328,0.6802,43,5,1,2867.00
LN1000343,Sarita Pandey,8699458529,West Bengal,South 24 Parganas,URBAN,Micro-Enterprise,2022-10-31,18,18,40000.00,4444.00,35556.00,6400.00,3022.00,3022.00,16,2024-02-20,3022.00,27,0-30,Active,23613,9887,0.5467,51,5,1,3022.00
LN1000344,Rajesh Kumari,8810248596,West Bengal,Nadia,RURAL,JLG,2022-09-30,24,24,50000.00,16667.00,33333.00,6000.00,3083.00,6166.00,16,2024-02-08,3083.00,43,31-60,Active,35336,24648,0.7848,29,1,0,0.00
LN1000345,Manju Das,8790584535,Rajasthan,Bikaner,RURAL,Micro-Enterprise,2023-05-05,18,18,25000.00,18056.00,6944.00,1250.00,1889.00,11334.00,5,2023-09-23,1889.00,179,91-180,Active,48483,36842,0.7989,47,4,1,1889.00
LN1000346,Aarti Singh,6623718344,Madhya Pradesh,Bhopal,RURAL,Individual Loan,2023-11-26,12,12,50000.00,45833.00,4167.00,750.00,5167.00,15501.00,1,2024-01-15,5167.00,62,61-90,Active,,,,26,1,1,8603.00
LN1000347,Pooja Gupta,7509278760,Uttar Pradesh,Varanasi,RURAL,Micro-Enterprise,2022-12-14,18,18,30000.00,8333.00,21667.00,3900.00,2267.00,4534.00,13,2024-01-30,2267.00,37,31-60,Active,23338,16789,0.8165,37,5,1,1416.00
LN1000348,Meena Sharma,9967861009,Odisha,Cuttack,RURAL,JLG,2023-03-04,18,18,25000.00,13889.00,11111.00,2000.00,1889.00,9445.00,8,2023-11-13,1889.00,133,91-180,NPA,28808,18024,0.6912,33,5,1,1146.00
LN1000349,Mamta Manjhi,9676452971,Tamil Nadu,Thanjavur,RURAL,Individual Loan,2022-05-10,36,36,40000.00,15556.00,24444.00,4400.00,1911.00,1911.00,22,2024-03-01,1911.00,20,0-30,Active,64396,41577,0.6753,39,1,1,1596.00
LN1000350,Geeta Bai,9681859128,Odisha,Balasore,RURAL,Micro-Enterprise,2023-10-04,12,12,60000.00,40000.00,20000.00,3600.00,6200.00,6200.00,4,2024-02-10,6200.00,27,0-30,Active,43543,26803,0.7579,58,5,1,6200.00
LN1000351,Meena Mondal,6998150909,Rajasthan,Kota,URBAN,Micro-Enterprise,2023-11-13,12,12,100000.00,100000.00,0.00,0.00,10333.00,61998.00,0,2023-09-15,10333.00,176,91-180,NPA,27698,21761,1.1587,36,4,1,5382.00
LN1000352,Dinesh Mondal,6268253596,Bihar,Purnia,RURAL,JLG,2023-04-07,12,12,100000.00,16667.00,83333.00,15000.00,10333.00,10333.00,10,2024-02-20,10333.00,30,0-30,Active,22045,10183,0.9306,54,2,1,10333.00
LN1000353,Radha Bai,6244256358,Odisha,Khordha,RURAL,JLG,2023-03-08,24,24,40000.00,21667.00,18333.00,3300.00,2467.00,2467.00,11,2024-03-03,2467.00,18,0-30,Active,18261,8800,0.6170,38,4,1,892.00
LN1000354,Rani Roy,6674769567,Bihar,Darbhanga,RURAL,Agriculture Allied,2022-03-10,36,36,50000.00,23611.00,26389.00,4750.00,2389.00,14334.00,19,2023-10-04,2389.00,171,91-180,Active,40986,21930,0.5933,25,2,1,2275.00
LN1000355,Radha Roy,8668671709,Odisha,Ganjam,URBAN,Micro-Enterprise,2023-11-21,18,18,60000.00,53333.00,6667.00,1200.00,4533.00,9066.00,2,2024-01-26,4533.00,55,31-60,Active,33050,26053,0.9254,49,4,0,0.00
LN1000356,Dinesh Bai,7624892024,West Bengal,Malda,RURAL,Micro-Enterprise,2023-03-04,12,12,75000.00,82350.00,0.00,0.00,7750.00,116250.00,0,2023-01-06,7750.00,439,360+,Write-Off,30767,18089,0.8398,31,2,0,0.00
LN1000357,Manoj Bai,6786521426,Bihar,Muzaffarpur,RURAL,Individual Loan,2023-02-22,24,24,25000.00,13542.00,11458.00,2062.00,1542.00,3084.00,11,2024-01-31,1542.00,36,31-60,Active,38441,19133,0.5378,47,1,1,1542.00
LN1000358,Sangeeta Mondal,7387950403,Odisha,Mayurbhanj,RURAL,Micro-Enterprise,2023-11-27,12,12,50000.00,41667.00,8333.00,1500.00,5167.00,10334.00,2,2024-01-28,5167.00,38,31-60,Active,58087,36637,0.7197,58,3,0,0.00
LN1000359,Shanti Gupta,8408385163,West Bengal,Murshidabad,RURAL,Micro-Enterprise,2023-05-30,36,36,75000.00,58333.00,16667.00,3000.00,3583.00,7166.00,8,2024-01-14,3583.00,58,31-60,Active,62553,41213,0.7161,41,2,1,3583.00
LN1000360,Meena Kumari,7598935254,Uttar Pradesh,Prayagraj,RURAL,Agriculture Allied,2023-04-21,24,24,30000.00,30000.00,0.00,0.00,1850.00,24050.00,0,2023-03-01,1850.00,371,360+,Active,38438,30685,0.8464,46,3,0,0.00
LN1000361,Anil Mahto,7682670247,Bihar,Muzaffarpur,RURAL,JLG,2023-02-08,18,18,100000.00,55556.00,44444.00,8000.00,7556.00,37780.00,8,2023-10-15,7556.00,146,91-180,Active,47371,30832,0.8104,30,1,0,0.00
LN1000362,Ramesh Yadav,8238922176,Bihar,Patna,RURAL,Agriculture Allied,2022-12-17,36,36,100000.00,61111.00,38889.00,7000.00,4778.00,4778.00,14,2024-02-25,4778.00,28,0-30,Active,21701,12610,0.8013,34,1,1,4778.00
